Date,DateTime,environment,position_group,target,algo,Evaluation_WinShare,Evaluation_RMSE,Evaluation_R2,test_RMSE,test_R2,test_MAE,train_RMSE,train_R2,train_MAE,n_trees,learning_rate,max_depth,colsample_bytree,min_child_weight,subsample,seed,knn,pt_min,pt_keep_thres,pt_drop,start_year,eval_split_method,prod_split_method
2020-06-03,2020-06-03 14:44:44.801935,eval,hitters,SLG,xgb,0.2678185745140389,0.11008883714071076,0.06678710357935169,0.06446239566057575,0.2299882405086574,0.051093289812300505,0.04746134146268712,0.560700250263306,0.03698713999487615,950,0.0643601707152649,2,0.6796215493820229,1,0.8026006422512594,123,5,150,300,200,2014,timeseries,timeseries
2020-06-03,2020-06-03 14:46:08.399776,prod,hitters,SLG,xgb,0.0,0.0,0.0,0.06373306062183713,0.2473136770317893,0.05060849588998748,0.04874537710163487,0.5366087737646191,0.03800149929291916,950,0.19257469646923314,3,0.8740269299043285,7,0.8675244596634638,123,5,150,300,200,2014,timeseries,timeseries
2020-06-03,2020-06-03 14:52:39.318209,eval,hitters,SLG,xgb,0.28293736501079914,0.1055184453549916,0.1426642552139541,0.06385310770851968,0.27746469944014185,0.04911363074486269,0.04575592323328187,0.5799505132549341,0.035327161576385435,200,0.14106191755200898,3,0.6794587803552495,7,0.8128367045038747,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 14:53:54.342467,prod,hitters,SLG,xgb,0.0,0.0,0.0,0.06398574516137201,0.2744598409102734,0.049481299536750914,0.03436347866872508,0.7630809097047351,0.02515102081375326,100,0.13095548556556486,4,0.6000358097041028,2,0.8700426833705054,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:00:07.530034,eval,hitters,CS_per_PA,xgb,0.11231101511879048,2.1104791925104243,-0.03611297698203697,0.004465955990255076,0.4191270859275757,0.003294642643738516,0.0033338841300933827,0.6498778211203575,0.0025964710944773955,500,0.0295803996682125,3,0.8089337327748632,1,0.7445488004811902,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:00:47.442466,prod,hitters,CS_per_PA,xgb,0.0,0.0,0.0,0.004488171973181124,0.4133335850446908,0.003265130642371701,0.004178223576966824,0.4500768913967685,0.0030645456131554428,750,0.4391615902975033,1,0.9528174010964924,7,0.8669942788644146,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:08:47.063625,eval,hitters,R_per_PA,xgb,0.1490280777537797,29.05474931862247,0.1654980955217097,0.022096307153632498,0.2576463535318905,0.017162374704335726,0.014203342795489644,0.6477119782994439,0.011129228326136824,700,0.0964720104207234,4,0.8458455196663119,2,0.8792964170839226,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:09:48.931294,prod,hitters,R_per_PA,xgb,0.0,0.0,0.0,0.02212380743357404,0.2557973896482707,0.01706853748864601,0.016386910211912627,0.5310669015423171,0.0129392739299323,750,0.03747601679926755,2,0.6030447156199285,4,0.7003600605503114,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:10:53.839696,eval,hitters,RBI_per_PA,xgb,0.16630669546436286,29.74639872183109,0.10425820168153832,0.026767850760177892,0.3222913228656984,0.02082380573652133,0.020430660882959698,0.5867878600042591,0.016036883390600047,800,0.0635525025146268,3,0.6912343989458335,1,0.8540581297330124,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:12:24.605220,prod,hitters,RBI_per_PA,xgb,0.0,0.0,0.0,0.02683320629022928,0.3189779391211023,0.02085114089259861,0.013777962859371648,0.8120777250226118,0.009785211191593651,650,0.008846034380236236,6,0.9981230699762887,7,0.7268218504193773,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:13:04.711145,eval,hitters,WAR_per_PA,xgb,0.2644927536231884,1.4017251158697328,0.3642072417201952,0.003179319184446994,0.20083871460789748,0.0024593522709086524,0.003112143220472516,0.30640999887863474,0.002440949134512459,700,0.11006098815454927,1,0.698376164638854,4,0.7540414789436222,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:13:41.611849,prod,hitters,WAR_per_PA,xgb,0.0,0.0,0.0,0.00318598142109706,0.19748593389887026,0.002466139919443466,0.0031275950410499203,0.2995055391154461,0.0024509039708733448,450,0.526631903533785,1,0.7977535465457549,1,0.8536533276846446,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:14:40.691412,eval,hitters,SB_per_PA,xgb,0.16198704103671707,5.811252254156067,0.2577303573620435,0.013193329102458837,0.5517886967935652,0.008371910030304235,0.0065660649011003505,0.8412464806854008,0.004705434095361648,750,0.022683638344561816,4,0.8216654288920209,7,0.8752746804337104,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 15:15:36.353729,prod,hitters,SB_per_PA,xgb,0.0,0.0,0.0,0.013165380677848662,0.5536856450902764,0.008358530867451006,0.006016396617942606,0.8667135698263528,0.004142662091205297,850,0.05587123850200392,4,0.8602307181432227,7,0.9551188713061864,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 17:11:14.625856,eval,hitters,BABIP,xgb,0.0,0.0,0.0,0.035285490037980025,0.1354151314124702,0.027971116271673462,0.027564215201733702,0.44309343464739503,0.02158494571878129,250,0.06376522042703679,3,0.7644670337465845,7,0.9547807280435964,123,5,150,300,200,2014,random,random
2020-06-03,2020-06-03 17:11:23.714015,prod,hitters,BABIP,xgb,0.0,0.0,0.0,0.03523019105181936,0.13812294147756032,0.027951715773227158,0.031263017950113665,0.2836044592134963,0.02453618723768784,100,0.15215418931057814,1,0.8039226404667347,1,0.7773719460383253,123,5,150,300,200,2014,random,random
